resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
deer-mountain,44.308419,-103.818913,1570.972778,north,midwest,182.28702540278343,221.1686033119001,219.44491197179445,163.86632097045927,244.45494390142744,182.27126525579186,164.57171792810158,155.10220147776616
terry-peak,44.336899,-103.82462,1550.48645,north,midwest,168.22956151147008,205.68650740725104,190.16107940980064,145.99972554959714,239.8300321334051,137.86213704887322,157.95265882381076,150.32110175691608
mt-pisgah,44.344925,-74.125298,467.535675,north,east,155.25282322243137,220.27269253296575,246.42171997818306,178.34536320966205,175.8266571531999,181.55064360700402,277.7155580507264,184.75615499505443
whiteface-lake-placid,44.357867,-73.859582,451.4804077,north,east,142.25515217000802,201.92740850296735,176.66854575994887,149.3452293822733,135.06649226160957,172.14199467547556,246.84148545109304,190.14509721807698
coffee-mill,44.36290865,-92.04315382,340.9333191,north,midwest,149.27644220688032,188.3329270650115,164.70555661778243,156.01895258510876,178.00046490303154,155.37287846354081,154.91016466866387,142.8821845213278
mt-abram,44.379415,-70.706572,259.6872864,north,east,199.59539391686874,269.89455727629945,191.89432564029636,180.1033757404042,226.40934087198843,218.75460737151923,347.42795050689796,229.66645859583426
cochran,44.3890862,-72.98097957,333.9689636,north,east,172.7837332146008,235.46652279465096,207.3533237007526,197.38014512896237,194.44559986956824,192.91906142566773,314.35039735454734,209.2195058623626
missaukee-mountain,44.392643,-85.227584,296.5439148,north,midwest,169.00161012412607,237.16963944706998,295.5682442653117,128.77341277066233,184.5744092051119,229.52462367559656,252.36733892789533,171.47830323908153
hoodoo-ski-area,44.409234,-121.872238,1225.910156,north,west,428.52396952264274,399.22476698058927,423.02347198045567,344.3615102446976,288.8772299963157,292.9598263171013,225.8360410202618,185.83080565089554
bolton-valley,44.41053296,-72.8641005,332.383606,north,east,168.53527235820908,223.91551657460076,220.84111986110756,185.29964296958698,216.64804494499765,215.91840400460597,310.9126641681104,222.80971032881865
standing-rocks,44.433981,-89.398992,312.7614441,north,midwest,144.1266215881529,188.70371028122392,171.40932043210188,151.765082923485,204.90506202651153,256.09984951416124,275.08606264933655,182.90303647551383
bruce-mound,44.44555532,-90.78586541,330.8987427,north,midwest,138.65460766435226,185.70878309293911,169.73084504411656,146.54464336927637,187.5942542429345,224.17664227328726,226.1693072305293,159.39487639592895
mount-prospect-lancaster,44.456847,-71.575145,350.4570313,north,east,150.20746354700563,222.68063000941729,163.15046493608673,163.42809053446254,161.99509358781333,187.42908274516154,287.8007935911915,206.1379719863993
winter-park-kewaunee-county,44.460802,-87.559102,169.7023926,north,midwest,163.70990735630474,220.01545566201585,225.78557408664582,101.7781054018161,144.87398386275208,196.87012430235427,200.07648536544002,181.4674420694317
chipmunk,44.47106315,-114.32299,2140.669189,north,rockies,287.1864417898498,290.71700789901894,319.6232599061012,241.88795390010694,167.55236700857336,162.594174644233,119.15736620540649,159.75157739366986
sunday-river,44.473126,-70.857466,299.7663574,north,east,211.63754335647698,286.5295106081049,293.4167663708718,188.36339539654765,265.35786597738115,245.58072986906433,347.76455749533875,236.13990952696977
spruce-mountain-jay,44.478835,-70.202974,266.9728699,north,east,211.38105531178667,282.3488297443767,231.38545436727995,167.34633808482297,233.12011786019502,245.15263684958182,370.0695364006081,241.94078623506277
sleeping-giant,44.491871,-109.940844,2443.318604,north,rockies,272.8134933728231,274.10154674761026,330.1494408332753,233.5110301164947,263.2717025632084,352.6938504618371,389.65600788350383,234.84308727356316
triangle-sports-area-green-bay,44.509919,-87.950379,223.7333374,north,midwest,163.55958773705686,207.39171576515565,208.33273580072472,118.97018585267298,160.41952689071152,190.56287648454207,192.53821815645827,178.9153684963216
stowe,44.510799,-72.767531,308.2648315,north,east,158.395384467229,220.21497881006528,201.52715444782163,161.88174042647137,215.69597314656414,218.97097285393366,307.3431363932354,222.797481978982
