resort,url,maps_url,lat,lon
willamette-pass-crescent,https://www.skiresort.info/ski-resort/willamette-pass-crescent/,"https://www.google.com/maps?q=43.600684,-122.035419",43.600684,-122.035419
craigleith-ski-club,https://www.skiresort.info/ski-resort/craigleith-ski-club/,"https://www.google.com/maps?q=44.516326,-80.333777",44.516326,-80.333777
timberline-mountain,https://www.skiresort.info/ski-resort/timberline-mountain/,"https://www.google.com/maps?q=39.042424,-79.400341",39.042424,-79.400341
montana-snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,"https://www.google.com/maps?q=47.01491081161211,-114.00010197860728",47.01491081161211,-114.00010197860728
valinouet,https://www.skiresort.info/ski-resort/valinouet/,"https://www.google.com/maps?q=48.65391768421858,-70.89360560800911",48.65391768421858,-70.89360560800911
osler-bluff-ski-club,https://www.skiresort.info/ski-resort/osler-bluff-ski-club/,"https://www.google.com/maps?q=44.461713,-80.281101",44.461713,-80.281101
le-relais-lac-beauport,https://www.skiresort.info/ski-resort/le-relais-lac-beauport/,"https://www.google.com/maps?q=46.940528,-71.29964",46.940528,-71.29964
mountain-creek-vernon,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,"https://www.google.com/maps?q=41.17821,-74.530832",41.17821,-74.530832
hudson-bay-mountain-smithers,https://www.skiresort.info/ski-resort/hudson-bay-mountain-smithers/,"https://www.google.com/maps?q=54.773873,-127.233455",54.773873,-127.233455
haystack-mountain-the-hermitage-club,https://www.skiresort.info/ski-resort/haystack-mountain-the-hermitage-club/,"https://www.google.com/maps?q=42.923423,-72.895763",42.923423,-72.895763
the-summit-at-snoqualmie,https://www.skiresort.info/ski-resort/the-summit-at-snoqualmie/,"https://www.google.com/maps?q=47.424207,-121.416671",47.424207,-121.416671
mount-st-louis-moonstone,https://www.skiresort.info/ski-resort/mount-st-louis-moonstone/,"https://www.google.com/maps?q=44.623465,-79.66766",44.623465,-79.66766
bristol-mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,"https://www.google.com/maps?q=42.744885,-77.405104",42.744885,-77.405104
mt-spokane,https://www.skiresort.info/ski-resort/mt-spokane/,"https://www.google.com/maps?q=47.921722,-117.09534",47.921722,-117.09534
mont-edouard-lanse-saint-jean,https://www.skiresort.info/ski-resort/mont-edouard-lanse-saint-jean/,"https://www.google.com/maps?q=48.16700170158648,-70.28781136923212",48.16700170158648,-70.28781136923212
monarch,https://www.skiresort.info/ski-resort/monarch/,"https://www.google.com/maps?q=38.511429,-106.332427",38.511429,-106.332427
silverton-mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,"https://www.google.com/maps?q=37.884149,-107.665809",37.884149,-107.665809
mount-seymour,https://www.skiresort.info/ski-resort/mount-seymour/,"https://www.google.com/maps?q=49.36813620066202,-122.9485934972763",49.36813620066202,-122.9485934972763
pleasant-mountain,https://www.skiresort.info/ski-resort/pleasant-mountain/,"https://www.google.com/maps?q=44.058103,-70.814698",44.058103,-70.814698
marble-mountain-steady-brook-humber-valley,https://www.skiresort.info/ski-resort/marble-mountain-steady-brook-humber-valley/,"https://www.google.com/maps?q=48.947604,-57.832632",48.947604,-57.832632
pats-peak,https://www.skiresort.info/ski-resort/pats-peak/,"https://www.google.com/maps?q=43.163171,-71.796016",43.163171,-71.796016
mont-orignal-lac-etchemin,https://www.skiresort.info/ski-resort/mont-orignal-lac-etchemin/,"https://www.google.com/maps?q=46.410928,-70.581499",46.410928,-70.581499
wachusett-mountain,https://www.skiresort.info/ski-resort/wachusett-mountain/,"https://www.google.com/maps?q=42.502031,-71.88679",42.502031,-71.88679
titus-mountain,https://www.skiresort.info/ski-resort/titus-mountain/,"https://www.google.com/maps?q=44.76320660487961,-74.23474593618467",44.76320660487961,-74.23474593618467
sugar-mountain,https://www.skiresort.info/ski-resort/sugar-mountain/,"https://www.google.com/maps?q=36.130154,-81.859834",36.130154,-81.859834
granby-ranch,https://www.skiresort.info/ski-resort/granby-ranch/,"https://www.google.com/maps?q=40.044327,-105.905419",40.044327,-105.905419
magic-mountain,https://www.skiresort.info/ski-resort/magic-mountain/,"https://www.google.com/maps?q=43.202075,-72.771769",43.202075,-72.771769
diamond-peak,https://www.skiresort.info/ski-resort/diamond-peak/,"https://www.google.com/maps?q=39.25394,-119.922981",39.25394,-119.922981
mt-shasta-ski-park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,"https://www.google.com/maps?q=41.320985,-122.204287",41.320985,-122.204287
pajarito-mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,"https://www.google.com/maps?q=35.893632,-106.388338",35.893632,-106.388338
cape-smokey,https://www.skiresort.info/ski-resort/cape-smokey/,"https://www.google.com/maps?q=46.627455,-60.421375",46.627455,-60.421375
alpine-ski-club-collingwood,https://www.skiresort.info/ski-resort/alpine-ski-club-collingwood/,"https://www.google.com/maps?q=44.522596,-80.348897",44.522596,-80.348897
fortress-mountain,https://www.skiresort.info/ski-resort/fortress-mountain/,"https://www.google.com/maps?q=50.81971,-115.197659",50.81971,-115.197659
maverick-mountain,https://www.skiresort.info/ski-resort/maverick-mountain/,"https://www.google.com/maps?q=45.434528,-113.127402",45.434528,-113.127402
boreal,https://www.skiresort.info/ski-resort/boreal/,"https://www.google.com/maps?q=39.335787,-120.35059",39.335787,-120.35059
soldier-mountain,https://www.skiresort.info/ski-resort/soldier-mountain/,"https://www.google.com/maps?q=43.484664,-114.829039",43.484664,-114.829039
shames-mountain,https://www.skiresort.info/ski-resort/shames-mountain/,"https://www.google.com/maps?q=54.485161,-128.953253",54.485161,-128.953253
mountain-high-east,https://www.skiresort.info/ski-resort/mountain-high-east/,"https://www.google.com/maps?q=34.371956,-117.676581",34.371956,-117.676581
cooper,https://www.skiresort.info/ski-resort/cooper/,"https://www.google.com/maps?q=39.359856,-106.300793",39.359856,-106.300793
belleayre-mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,"https://www.google.com/maps?q=42.140589,-74.501476",42.140589,-74.501476
