resort,url,maps_url,lat,lon,altitude,beg,int,adv,geometry
sunlight-mountain,https://www.skiresort.info/ski-resort/sunlight-mountain/,"https://www.google.com/maps?q=39.400418643839544,-107.33943657860021",39.40041864,-107.3394366,2915.216797,20.0,55.0,25.0,POINT (-107.33943701464354 39.400417494498576)
snow-creek,https://www.skiresort.info/ski-resort/snow-creek/,"https://www.google.com/maps?q=39.46658,-94.970171",39.46658,-94.970171,255.4720917,41.0,56.0,3.0,POINT (-94.97016715016379 39.466581667786585)
breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,"https://www.google.com/maps?q=39.485392,-106.047732",39.485392,-106.047732,2848.888916,18.0,39.0,43.0,POINT (-106.04773234922556 39.48538967845073)
copper-mountain,https://www.skiresort.info/ski-resort/copper-mountain/,"https://www.google.com/maps?q=39.49901996555826,-106.14614527945103",39.49901997,-106.1461453,2872.693115,24.0,32.0,44.0,POINT (-106.14614526165884 39.49901781959379)
wisp-mchenry-deep-creek-lake,https://www.skiresort.info/ski-resort/wisp-mchenry-deep-creek-lake/,"https://www.google.com/maps?q=39.556844,-79.364263",39.556844,-79.364263,543.1723022,35.0,38.0,27.0,POINT (-79.36426428426633 39.556845637644344)
frisco-adventure-park,https://www.skiresort.info/ski-resort/frisco-adventure-park/,"https://www.google.com/maps?q=39.574092,-106.078196",39.574092,-106.078196,2854.444336,100.0,,,POINT (-106.07819583461915 39.57408957223914)
snoebahn-centennial,https://www.skiresort.info/ski-resort/snoebahn-centennial/,"https://www.google.com/maps?q=39.590920,-104.962487",39.59092,-104.962487,2076.323975,100.0,,,POINT (-104.96248719614174 39.59091885819592)
keystone,https://www.skiresort.info/ski-resort/keystone/,"https://www.google.com/maps?q=39.603888,-105.953873",39.603888,-105.953873,2801.227051,19.0,48.0,33.0,POINT (-105.95387320365612 39.60388572790416)
beaver-creek,https://www.skiresort.info/ski-resort/beaver-creek/,"https://www.google.com/maps?q=39.632961,-106.533131",39.632961,-106.533131,2953.260742,19.0,43.0,38.0,POINT (-106.53312735028867 39.63295954646155)
vail,https://www.skiresort.info/ski-resort/vail/,"https://www.google.com/maps?q=39.638437,-106.369074",39.638437,-106.369074,2916.749756,24.0,36.0,40.0,POINT (-106.36907115241193 39.63843503006638)
arapahoe-basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,"https://www.google.com/maps?q=39.641486,-105.87231",39.641486,-105.87231,2733.317383,8.0,33.0,59.0,POINT (-105.87231008991407 39.64148434353363)
loveland,https://www.skiresort.info/ski-resort/loveland/,"https://www.google.com/maps?q=39.679952,-105.897662",39.679952,-105.897662,2748.595459,13.0,41.0,46.0,POINT (-105.89766194328192 39.679950201301054)
echo-mountain-park-idaho-springs,https://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,"https://www.google.com/maps?q=39.684591,-105.518802",39.684591,-105.518802,2423.902344,67.0,33.0,,POINT (-105.51880206034781 39.68459043505648)
whitetail,https://www.skiresort.info/ski-resort/whitetail/,"https://www.google.com/maps?q=39.741572,-77.934438",39.741572,-77.934438,323.6401367,15.0,55.0,30.0,POINT (-77.93444016589686 39.74157178806705)
liberty-mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,"https://www.google.com/maps?q=39.763111,-77.374124",39.763111,-77.374124,211.5574036,33.0,45.0,22.0,POINT (-77.37412535978426 39.76311123303736)
plumas-eureka-ski-bowl,https://www.skiresort.info/ski-resort/plumas-eureka-ski-bowl/,"https://www.google.com/maps?q=39.767073,-120.699594",39.767073,-120.699594,1309.20874,67.0,23.0,10.0,POINT (-120.6995920103633 39.7670725563501)
mystic-mountain-farmington,https://www.skiresort.info/ski-resort/mystic-mountain-farmington/,"https://www.google.com/maps?q=39.814008,-79.546123",39.814008,-79.546123,498.6682434,59.0,26.0,15.0,POINT (-79.54612448535639 39.81400994612482)
winter-park-resort,https://www.skiresort.info/ski-resort/winter-park-resort/,"https://www.google.com/maps?q=39.874749,-105.760349",39.874749,-105.760349,2573.724121,8.0,37.0,55.0,POINT (-105.76034815338899 39.874748060062956)
eldora-mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,"https://www.google.com/maps?q=39.937995,-105.584643",39.937995,-105.584643,2350.523926,21.0,50.0,29.0,POINT (-105.58464189735128 39.937993983614966)
seven-springs,https://www.skiresort.info/ski-resort/seven-springs/,"https://www.google.com/maps?q=40.022098,-79.298971",40.022098,-79.298971,594.3474121,35.0,41.0,24.0,POINT (-79.29897284493737 40.02209960424873)
granby-ranch,https://www.skiresort.info/ski-resort/granby-ranch/,"https://www.google.com/maps?q=40.044327,-105.905419",40.044327,-105.905419,2700.263916,30.0,50.0,20.0,POINT (-105.90541783004785 40.04432506534899)
hidden-valley-pa,https://www.skiresort.info/ski-resort/hidden-valley-pa/,"https://www.google.com/maps?q=40.0577708193866,-79.25692879979769",40.05777082,-79.2569288,607.9041138,45.0,33.0,22.0,POINT (-79.25693059065995 40.05777236916278)
roundtop,https://www.skiresort.info/ski-resort/roundtop/,"https://www.google.com/maps?q=40.109506,-76.926586",40.109506,-76.926586,159.7716827,20.0,40.0,40.0,POINT (-76.92658632800617 40.10950476764152)
laurel-mountain,https://www.skiresort.info/ski-resort/laurel-mountain/,"https://www.google.com/maps?q=40.163662,-79.166446",40.163662,-79.166446,628.4156494,49.0,37.0,14.0,POINT (-79.16644788808736 40.163663503939276)
stagecoach-mountain,https://www.skiresort.info/ski-resort/stagecoach-mountain/,"https://www.google.com/maps?q=40.252430,-106.857126",40.25243,-106.857126,2853.315186,,,,POINT (-106.85712473778536 40.25242977476226)
spring-mountain,https://www.skiresort.info/ski-resort/spring-mountain/,"https://www.google.com/maps?q=40.271747,-75.450116",40.271747,-75.450116,146.4038849,47.0,29.0,24.0,POINT (-75.45011721214505 40.27174633024025)
blue-knob,https://www.skiresort.info/ski-resort/blue-knob/,"https://www.google.com/maps?q=40.288778,-78.563751",40.288778,-78.563751,530.4283447,31.0,50.0,19.0,POINT (-78.56375407610369 40.28878017853053)
stover-mountain,https://www.skiresort.info/ski-resort/stover-mountain/,"https://www.google.com/maps?q=40.29050222689264,-121.28848931432071",40.29050223,-121.2884893,1059.175415,40.0,40.0,20.0,POINT (-121.28848879705588 40.2905024144682)
mad-river-mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/,"https://www.google.com/maps?q=40.316621,-83.678384",40.316621,-83.678384,281.0569763,47.0,31.0,22.0,POINT (-83.67838669728637 40.316623289766675)
coppervale,https://www.skiresort.info/ski-resort/coppervale/,"https://www.google.com/maps?q=40.345341,-120.903829",40.345341,-120.903829,1413.209473,33.0,67.0,,POINT (-120.90382896248171 40.345341673531145)
infinity-slopes-loveland,https://www.skiresort.info/ski-resort/infinity-slopes-loveland/,"https://www.google.com/maps?q=40.380420935386105,-105.08379320714747",40.38042094,-105.0837932,1809.206421,100.0,,,POINT (-105.08379354351041 40.38041736147515)
sundance,https://www.skiresort.info/ski-resort/sundance/,"https://www.google.com/maps?q=40.391418,-111.57893",40.391418,-111.57893,1911.414185,34.0,46.0,20.0,POINT (-111.57892782108117 40.39141470065031)
hoedown-hill-windsor,https://www.skiresort.info/ski-resort/hoedown-hill-windsor/,"https://www.google.com/maps?q=40.453945,-104.929665",40.453945,-104.929665,1740.32605,50.0,50.0,,POINT (-104.9296641762542 40.453941521535235)
steamboat,https://www.skiresort.info/ski-resort/steamboat/,"https://www.google.com/maps?q=40.45724,-106.804345",40.45724,-106.804345,2755.007568,15.0,58.0,27.0,POINT (-106.8043436096037 40.45723949301063)
boyce-park,https://www.skiresort.info/ski-resort/boyce-park/,"https://www.google.com/maps?q=40.46127200583641,-79.74778779025117",40.46127201,-79.74778779,409.0328674,100.0,,,POINT (-79.74778957367197 40.46127302721452)
