resort,url,maps_url,lat,lon,altitude
timberline,https://www.skiresort.info/ski-resort/timberline/,"https://www.google.com/maps?q=45.330953,-121.713493",45.330953,-121.713493,991.17041015625
stevens-pass,https://www.skiresort.info/ski-resort/stevens-pass/,"https://www.google.com/maps?q=47.743836,-121.091588",47.743836,-121.091588,1448.738037109375
arizona-snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,"https://www.google.com/maps?q=35.330042,-111.710106",35.330042,-111.710106,1813.600341796875
windham-mountain,https://www.skiresort.info/ski-resort/windham-mountain/,"https://www.google.com/maps?q=42.297955,-74.257908",42.297955,-74.257908,193.35205078125
grand-targhee,https://www.skiresort.info/ski-resort/grand-targhee/,"https://www.google.com/maps?q=43.788829,-110.956936",43.788829,-110.956936,2011.8824462890625
mt-hood-skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,"https://www.google.com/maps?q=45.300773,-121.7734",45.300773,-121.7734,988.7586669921876
holiday-valley,https://www.skiresort.info/ski-resort/holiday-valley/,"https://www.google.com/maps?q=42.261518,-78.668675",42.261518,-78.668675,461.7374572753906
cannon-mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,"https://www.google.com/maps?q=44.176831,-71.701678",44.176831,-71.701678,320.8907470703125
discovery-ski-area,https://www.skiresort.info/ski-resort/discovery-ski-area/,"https://www.google.com/maps?q=46.249154,-113.237923",46.249154,-113.237923,1794.0098876953125
attitash-mountain-resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,"https://www.google.com/maps?q=44.082352,-71.230035",44.082352,-71.230035,217.7562713623047
brian-head,https://www.skiresort.info/ski-resort/brian-head/,"https://www.google.com/maps?q=37.692907,-112.847212",37.692907,-112.847212,1798.8209228515625
lutsen-mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,"https://www.google.com/maps?q=47.663815749764886,-90.71366514492281",47.663815749764886,-90.7136651449228,365.8252258300781
wenatchee-mission-ridge,https://www.skiresort.info/ski-resort/wenatchee-mission-ridge/,"https://www.google.com/maps?q=47.29181171211853,-120.39976092019921",47.29181171211853,-120.3997609201992,944.8956298828125
eldora-mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,"https://www.google.com/maps?q=39.937995,-105.584643",39.937995,-105.584643,2350.52392578125
bromley-mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,"https://www.google.com/maps?q=43.2130838907531,-72.93563959765565",43.2130838907531,-72.93563959765565,615.5667114257812
brundage-mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,"https://www.google.com/maps?q=45.004383,-116.15546",45.004383,-116.15546,2143.369873046875
white-pass,https://www.skiresort.info/ski-resort/white-pass/,"https://www.google.com/maps?q=46.637548,-121.390064",46.637548,-121.390064,1154.7421875
pico-mountain,https://www.skiresort.info/ski-resort/pico-mountain/,"https://www.google.com/maps?q=43.660762,-72.843712",43.660762,-72.843712,521.9635620117188
cranmore-mountain-resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,"https://www.google.com/maps?q=44.057484,-71.109535",44.057484,-71.109535,187.16368103027344
powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,"https://www.google.com/maps?q=39.06923,-108.150219",39.06923,-108.150219,2745.642578125
lost-trail-powder-mountain,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,"https://www.google.com/maps?q=45.691708,-113.953016",45.691708,-113.953016,1815.160400390625
donner-ski-ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,"https://www.google.com/maps?q=39.31810550283003,-120.33076822757721",39.31810550283003,-120.3307682275772,1516.6630859375
sundance,https://www.skiresort.info/ski-resort/sundance/,"https://www.google.com/maps?q=40.391418,-111.57893",40.391418,-111.57893,1911.4141845703125
mad-river-glen,https://www.skiresort.info/ski-resort/mad-river-glen/,"https://www.google.com/maps?q=44.202282,-72.918033",44.202282,-72.918033,405.7803649902344
gunstock,https://www.skiresort.info/ski-resort/gunstock/,"https://www.google.com/maps?q=43.540585,-71.366086",43.540585,-71.366086,190.39463806152344
big-snow-american-dream,https://www.skiresort.info/ski-resort/big-snow-american-dream/,"https://www.google.com/maps?q=40.809339,-74.070994",40.809339,-74.070994,27.93882942199707
china-peak,https://www.skiresort.info/ski-resort/china-peak/,"https://www.google.com/maps?q=37.235275,-119.154877",37.235275,-119.154877,1834.0335693359375
dodge-ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,"https://www.google.com/maps?q=38.18922,-119.956171",38.18922,-119.956171,1691.3348388671875
mont-orford,https://www.skiresort.info/ski-resort/mont-orford/,"https://www.google.com/maps?q=45.317894,-72.222003",45.317894,-72.222003,265.64410400390625
great-divide,https://www.skiresort.info/ski-resort/great-divide/,"https://www.google.com/maps?q=46.752298,-112.312814",46.752298,-112.312814,1379.6036376953125
bear-mountain-big-bear-lake,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,"https://www.google.com/maps?q=34.22737,-116.861682",34.22737,-116.861682,1001.1806640625
blue-mountain-resort-collingwood,https://www.skiresort.info/ski-resort/blue-mountain-resort-collingwood/,"https://www.google.com/maps?q=44.502266666507,-80.31302481541827",44.502266666507,-80.31302481541827,231.0293426513672
mt-sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,"https://www.google.com/maps?q=43.330009,-72.080424",43.330009,-72.080424,376.9044189453125
canada-olympic-park-calgary,https://www.skiresort.info/ski-resort/canada-olympic-park-calgary/,"https://www.google.com/maps?q=51.082059279668925,-114.21643941306861",51.082059279668925,-114.2164394130686,1141.6820068359375
silver-mountain,https://www.skiresort.info/ski-resort/silver-mountain/,"https://www.google.com/maps?q=47.540756,-116.133376",47.540756,-116.133376,1100.220703125
lookout-pass,https://www.skiresort.info/ski-resort/lookout-pass/,"https://www.google.com/maps?q=47.457232,-115.696936",47.457232,-115.696936,1225.768310546875
santa-fe,https://www.skiresort.info/ski-resort/santa-fe/,"https://www.google.com/maps?q=35.795667,-105.801717",35.795667,-105.801717,1868.2955322265625
owls-head,https://www.skiresort.info/ski-resort/owls-head/,"https://www.google.com/maps?q=45.073259,-72.297952",45.073259,-72.297952,302.5048522949219
baldy-mountain-resort,https://www.skiresort.info/ski-resort/baldy-mountain-resort/,"https://www.google.com/maps?q=49.153615,-119.23603",49.153615,-119.23603,1274.741455078125
ragged-mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,"https://www.google.com/maps?q=43.484491,-71.84254",43.484491,-71.84254,314.5512390136719
waterville-valley,https://www.skiresort.info/ski-resort/waterville-valley/,"https://www.google.com/maps?q=43.964573,-71.52885",43.964573,-71.52885,256.6839904785156
terry-peak,https://www.skiresort.info/ski-resort/terry-peak/,"https://www.google.com/maps?q=44.336899,-103.82462",44.336899,-103.82462,1550.4864501953125
camelback,https://www.skiresort.info/ski-resort/camelback/,"https://www.google.com/maps?q=41.050737,-75.355783",41.050737,-75.355783,310.9093322753906
blue-mountain,https://www.skiresort.info/ski-resort/blue-mountain/,"https://www.google.com/maps?q=40.820998,-75.513366",40.820998,-75.513366,275.6321105957031
snowshoe-mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,"https://www.google.com/maps?q=38.414703,-79.984106",38.414703,-79.984106,773.4474487304688
beaver-mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,"https://www.google.com/maps?q=41.968527,-111.541757",41.968527,-111.541757,1818.8638916015625
granite-peak-at-rib-mountain-state-park,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,"https://www.google.com/maps?q=44.929393,-89.683864",44.929393,-89.683864,393.01800537109375
snow-valley,https://www.skiresort.info/ski-resort/snow-valley/,"https://www.google.com/maps?q=34.223918222143205,-117.03534196564591",34.223918222143205,-117.03534196564593,957.984375
wildcat-mountain,https://www.skiresort.info/ski-resort/wildcat-mountain/,"https://www.google.com/maps?q=44.263953,-71.237943",44.263953,-71.237943,269.0414123535156
the-highlands-at-harbor-springs,https://www.skiresort.info/ski-resort/the-highlands-at-harbor-springs/,"https://www.google.com/maps?q=45.470846,-84.937085",45.470846,-84.937085,231.90435791015625
saddleback,https://www.skiresort.info/ski-resort/saddleback/,"https://www.google.com/maps?q=44.946892,-70.526025",44.946892,-70.526025,444.6167602539063
snow-summit-big-bear-lake,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,"https://www.google.com/maps?q=34.235461,-116.888834",34.235461,-116.888834,994.835205078125
sandia-peak,https://www.skiresort.info/ski-resort/sandia-peak/,"https://www.google.com/maps?q=35.206833,-106.413993",35.206833,-106.413993,1828.13525390625
willamette-pass-crescent,https://www.skiresort.info/ski-resort/willamette-pass-crescent/,"https://www.google.com/maps?q=43.600684,-122.035419",43.600684,-122.035419,1486.814697265625
craigleith-ski-club,https://www.skiresort.info/ski-resort/craigleith-ski-club/,"https://www.google.com/maps?q=44.516326,-80.333777",44.516326,-80.333777,228.0084228515625
timberline-mountain,https://www.skiresort.info/ski-resort/timberline-mountain/,"https://www.google.com/maps?q=39.042424,-79.400341",39.042424,-79.400341,522.1775512695312
montana-snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,"https://www.google.com/maps?q=47.01491081161211,-114.00010197860728",47.01491081161211,-114.00010197860728,1547.184814453125
valinouet,https://www.skiresort.info/ski-resort/valinouet/,"https://www.google.com/maps?q=48.65391768421858,-70.89360560800911",48.65391768421858,-70.89360560800911,495.0356750488281
osler-bluff-ski-club,https://www.skiresort.info/ski-resort/osler-bluff-ski-club/,"https://www.google.com/maps?q=44.461713,-80.281101",44.461713,-80.281101,239.06744384765625
le-relais-lac-beauport,https://www.skiresort.info/ski-resort/le-relais-lac-beauport/,"https://www.google.com/maps?q=46.940528,-71.29964",46.940528,-71.29964,216.42897033691406
mountain-creek-vernon,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,"https://www.google.com/maps?q=41.17821,-74.530832",41.17821,-74.530832,183.77345275878903
hudson-bay-mountain-smithers,https://www.skiresort.info/ski-resort/hudson-bay-mountain-smithers/,"https://www.google.com/maps?q=54.773873,-127.233455",54.773873,-127.233455,1258.967041015625
haystack-mountain-the-hermitage-club,https://www.skiresort.info/ski-resort/haystack-mountain-the-hermitage-club/,"https://www.google.com/maps?q=42.923423,-72.895763",42.923423,-72.895763,613.2310180664062
the-summit-at-snoqualmie,https://www.skiresort.info/ski-resort/the-summit-at-snoqualmie/,"https://www.google.com/maps?q=47.424207,-121.416671",47.424207,-121.416671,1094.1700439453125
mount-st-louis-moonstone,https://www.skiresort.info/ski-resort/mount-st-louis-moonstone/,"https://www.google.com/maps?q=44.623465,-79.66766",44.623465,-79.66766,243.4559783935547
bristol-mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,"https://www.google.com/maps?q=42.744885,-77.405104",42.744885,-77.405104,297.6080322265625
mt-spokane,https://www.skiresort.info/ski-resort/mt-spokane/,"https://www.google.com/maps?q=47.921722,-117.09534",47.921722,-117.09534,787.1824340820312
mont-edouard-lanse-saint-jean,https://www.skiresort.info/ski-resort/mont-edouard-lanse-saint-jean/,"https://www.google.com/maps?q=48.16700170158648,-70.28781136923212",48.16700170158648,-70.28781136923212,376.4879760742188
monarch,https://www.skiresort.info/ski-resort/monarch/,"https://www.google.com/maps?q=38.511429,-106.332427",38.511429,-106.332427,2871.58251953125
silverton-mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,"https://www.google.com/maps?q=37.884149,-107.665809",37.884149,-107.665809,2850.88232421875
mount-seymour,https://www.skiresort.info/ski-resort/mount-seymour/,"https://www.google.com/maps?q=49.36813620066202,-122.9485934972763",49.36813620066202,-122.9485934972763,587.6519775390625
pleasant-mountain,https://www.skiresort.info/ski-resort/pleasant-mountain/,"https://www.google.com/maps?q=44.058103,-70.814698",44.058103,-70.814698,155.66458129882812
marble-mountain-steady-brook-humber-valley,https://www.skiresort.info/ski-resort/marble-mountain-steady-brook-humber-valley/,"https://www.google.com/maps?q=48.947604,-57.832632",48.947604,-57.832632,246.64797973632812
